date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
2025-12-13 05:00:00+00:00,19.175,8.325,0.0,13.53236
2025-12-14 05:00:00+00:00,19.225,8.174999,0.6,11.966954
2025-12-15 05:00:00+00:00,18.324999,8.875,0.0,11.165805
2025-12-16 05:00:00+00:00,18.025,10.724999,1.2,11.367109
2025-12-17 05:00:00+00:00,18.525,10.674999,1.2,11.609651
2025-12-18 05:00:00+00:00,18.375,10.775,0.0,11.720751
2025-12-19 05:00:00+00:00,15.975,11.825,3.3000002,11.367109
