Fecha actualizacion: 2025/11/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
39, I.E Pedro Octavio Amado, Medellin, Altavista, 192.740, 218.694, 113.466
40, I.E Ciro Mendia, Medellin, Moscu No1, 178.120, 201.930, 113.367
55, I.E Reino de Belgica, Medellin, Maria Cano Carambolas, 189.930, 214.884, 113.139
75, Institucion Educativa Rural El Tambo, San Pedro, NA, 159.920, 180.086, 112.610
328, Universidad EIA - Envigado - Pluviometro, Envigado, NA, 259.280, 291.846, 112.560
62, Gimnasio Cantabria, La Estrella, NA, 235.440, 263.906, 112.091
18, Escuela El Salado, Medellin, NA, 275.600, 307.340, 111.517
230, Alcaldia La Estrella - Pluviometro, La Estrella, El Dorado, 219.410, 242.570, 110.556
227, Sonson - Pluviometro, Sonson, Centro, 256.750, 283.718, 110.504
383, Salinas Caldas - Pluviometro, Caldas, NA, 234.120, 255.800, 109.260
189, Q. La Sanin - Pluviometro, Medellin, NA, 223.010, 242.824, 108.885
248, Vivero EPM Piedras Blancas - Pluviometro, Guarne, NA, 202.790, 218.440, 107.717
244, Bomberos Envigado - Pluviometro, Envigado, Las Vegas, 236.120, 254.254, 107.680
1, Casa de Gobierno Altavista, Medellin, NA, 214.410, 230.378, 107.447
129, Colegio Divino Salvador, Medellin, Miraflores, 171.110, 182.118, 106.433
46, I.E La Milagrosa , Medellin, La Milagrosa, 194.250, 203.200, 104.607
14, Escuela El Triunfo , Medellin, El Triunfo, 205.950, 215.392, 104.585
24, I.E Republica de Uruguay, Medellin, Alfonso Lopez, 190.340, 198.374, 104.221
41, Comisaria El Poblado, Medellin, La Florida, 203.260, 210.566, 103.594
3, Escuela Rural Yarumalito, Medellin, NA, 271.080, 280.416, 103.444
9, Instituto Pedro Justo Berrio, Medellin, Las Mercedes, 190.420, 196.088, 102.977
26, Escuela Rural El Plan, Medellin, NA, 242.310, 249.174, 102.833
184, Miraflores, Medellin, Cataluna, 188.870, 193.040, 102.208
432, Andalucia Caldas - Pluviometro, Caldas, Andalucia, 304.880, 308.864, 101.307
289, Seminario Redemptoris - Pluviometro, Medellin, NA, 213.920, 216.408, 101.163
53, Colegio Eduardo Santos, Medellin, Eduardo Santos, 197.230, 198.882, 100.838
261, Deslizamiento La Raya - Pluviometro, La Estrella, NA, 286.560, 287.274, 100.249
52, Centro Veterinario y de Zootecnia CES, Envigado, NA, 244.640, 242.316, 99.0500
447, Deprimido San Juan Con Av Ferrocarril - Pluviometro, Medellin, Guayaquil, 188.980, 186.436, 98.6538
288, Colegio Waldorf - Pluviometro, La Estrella, Bellavista, 252.830, 245.872, 97.2479
434, Museo de Antioquia - Pluviometro, Medellin, La Candelaria, 196.470, 189.992, 96.7028
16, I.E Ramon Munera Lopera, Medellin, El Raizal, 203.860, 191.770, 94.0695
36, Colegio Concejo de Itagui, Itagui, Ditaires, 246.420, 229.870, 93.2838
334, Manuel Mejia Vallejo - Pluviometro, Envigado, Loma El Atravesado, 251.840, 234.188, 92.9908
