Fecha actualizacion: 2025/06/11 14:58
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
19, Tecnologico Antioquia, Itagui, Las Americas-Zona Industrial No. 1, 191.050, 279.146, 146.111
89, I.E Pedro Nel, Medellin, Florencia, 126.520, 184.404, 145.751
3, Escuela Rural Yarumalito, Medellin, NA, 288.630, 415.036, 143.795
10, Escuela Rural El Boqueron, Medellin, NA, 235.500, 337.058, 143.124
267, Colegio Canadiense - Pluviometro, La Estrella, NA, 242.320, 334.772, 138.153
57, Escuela la Clara, Caldas, NA, 226.000, 312.166, 138.127
227, Sonson - Pluviometro, Sonson, Centro, 237.170, 323.596, 136.441
160, Samana - Pluviometro, Samana, NA, 457.390, 601.980, 131.612
261, Deslizamiento La Raya - Pluviometro, La Estrella, NA, 266.830, 336.042, 125.939
383, Salinas Caldas - Pluviometro, Caldas, NA, 261.280, 328.422, 125.697
320, Palmitas Potrera - Pluviometro, Medellin, NA, 288.120, 329.692, 114.429
15, Colegio San Lucas , Medellin, San Lucas, 215.920, 222.758, 103.167
58, Escuela Luis Javier Garcia Isaza, Caldas, NA, 213.150, 197.104, 92.4720
266, Himalaya - Pluviometro, La Estrella, NA, 204.600, 18.0340, 8.81427
