Fecha actualizacion: 2025/06/11 15:31
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
17, Escuela El Corazon , Medellin, El Corazon, 76.4100, 159.258, 208.426
3, Escuela Rural Yarumalito, Medellin, NA, 135.870, 282.194, 207.694
18, Escuela El Salado, Medellin, NA, 111.780, 230.632, 206.327
54, I.E Juan Maria Cespedes, Medellin, El Nogal - Los Almendros, 83.7900, 172.212, 205.528
62, Gimnasio Cantabria, La Estrella, NA, 157.610, 317.246, 201.285
4, I.E Hector Rogelio Montoya, Medellin, NA, 86.2000, 173.482, 201.255
451, Heliodora - Pluviometro, Envigado, El Dorado, 134.370, 266.700, 198.482
295, Laguna Quitasol - Pluviometro, Bello, NA, 76.7700, 151.892, 197.853
376, Feria de Ganado - Pluviometro, Medellin, Belalcazar, 84.5000, 165.608, 195.986
244, Bomberos Envigado - Pluviometro, Envigado, Las Vegas, 121.510, 237.744, 195.658
356, Villa Niza - Pluviometro, Medellin, Villa Niza, 67.2300, 130.048, 193.437
429, Perfilador de Vientos - Pluviometro, Medellin, Belen Las Playas, 104.390, 200.914, 192.465
378, Edificio Camacol - Pluviometro, Medellin, Naranjal, 85.4700, 163.830, 191.681
328, Universidad EIA - Envigado - Pluviometro, Envigado, NA, 116.080, 220.218, 189.712
23, Instituto Jorge Robledo, Medellin, Carlos E. Restrepo, 86.5600, 163.322, 188.681
45, AMVA, Medellin, Calle Nueva, 77.3700, 145.796, 188.440
9, Instituto Pedro Justo Berrio, Medellin, Las Mercedes, 76.1900, 143.002, 187.691
447, Deprimido San Juan Con Av Ferrocarril - Pluviometro, Medellin, Guayaquil, 112.010, 208.026, 185.721
160, Samana - Pluviometro, Samana, NA, 465.070, 861.060, 185.146
275, Q. La Loca El Cafetal - Pluviometro, Bello, Paris, 72.8000, 134.116, 184.226
60, Torre SIATA, Medellin, Estadio, 72.2200, 132.842, 183.941
11, Escuela Rural Fabio Zuluaga, Medellin, NA, 86.7100, 159.004, 183.374
320, Palmitas Potrera - Pluviometro, Medellin, NA, 84.0700, 153.924, 183.090
51, Represa La Garcia , Bello, NA, 78.2500, 141.732, 181.127
266, Himalaya - Pluviometro, La Estrella, NA, 161.350, 288.293, 178.676
339, Ecoparque El Salado - Pluviometro, Envigado, NA, 127.590, 227.076, 177.973
278, Vereda Potrerito - Pluviometro, Barbosa, NA, 89.5100, 156.718, 175.084
267, Colegio Canadiense - Pluviometro, La Estrella, NA, 147.270, 255.016, 173.162
30, Salon Social Barbosa, Barbosa, Centro, 75.0100, 129.794, 173.036
434, Museo de Antioquia - Pluviometro, Medellin, La Candelaria, 124.840, 214.884, 172.128
432, Andalucia Caldas - Pluviometro, Caldas, Andalucia, 167.640, 277.622, 165.606
29, Escuela Marina Orth, Medellin, NA, 105.100, 168.800, 160.609
288, Colegio Waldorf - Pluviometro, La Estrella, Bellavista, 169.040, 267.716, 158.374
383, Salinas Caldas - Pluviometro, Caldas, NA, 137.840, 215.646, 156.447
234, I.E Manuel Jose Caicedo - Pluviometro, Barbosa, Aguas Calientes, 98.1500, 151.130, 153.979
373, Ancon 2 - Pluviometro, Copacabana, NA, 59.0600, 88.3920, 149.665
324, E.R Jamundi - Pluviometro, Girardota, NA, 87.6300, 126.241, 144.061
21, Escuela Rural San Jose de la Montana, Medellin, NA, 82.1500, 115.824, 140.991
127, I.E. Manuel Jose Sierra - Sede la Holanda, Girardota, NA, 55.0500, 72.3900, 131.499
31, Colegio Jose Manuel Sierra, Girardota, Calle Bolivar, 54.7900, 69.5960, 127.023
323, Acueducto Hatillo - Pluviometro, Barbosa, NA, 88.4800, 110.490, 124.876
66, I.E San Andres (Sede El Socorro), Girardota, NA, 63.4300, 63.7540, 100.511
47, Villa Nueva Sede La Luz, Copacabana, NA, 147.910, 121.920, 82.4285
353, Villa del Socorro - Pluviometro, Medellin, Villa del Socorro, 79.0800, 50.5460, 63.9176
10, Escuela Rural El Boqueron, Medellin, NA, 94.1100, 39.8780, 42.3738
