Fecha actualizacion: 2025/09/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
7, Escuela Republica de Cuba, Medellin, La Esperanza, 132.680, 158.496, 119.457
230, Alcaldia La Estrella - Pluviometro, La Estrella, El Dorado, 164.950, 195.580, 118.569
339, Ecoparque El Salado - Pluviometro, Envigado, NA, 123.950, 146.304, 118.035
40, I.E Ciro Mendia, Medellin, Moscu No1, 134.310, 158.242, 117.818
432, Andalucia Caldas - Pluviometro, Caldas, Andalucia, 223.770, 262.128, 117.142
39, I.E Pedro Octavio Amado, Medellin, Altavista, 133.140, 155.194, 116.565
21, Escuela Rural San Jose de la Montana, Medellin, NA, 148.630, 173.228, 116.550
29, Escuela Marina Orth, Medellin, NA, 129.110, 149.600, 115.870
184, Miraflores, Medellin, Cataluna, 130.100, 150.622, 115.774
52, Centro Veterinario y de Zootecnia CES, Envigado, NA, 149.740, 173.228, 115.686
3, Escuela Rural Yarumalito, Medellin, NA, 156.200, 180.340, 115.455
241, Sede Social Picacho Las Vegas, Medellin, Picacho, 138.430, 157.734, 113.945
261, Deslizamiento La Raya - Pluviometro, La Estrella, NA, 179.070, 203.708, 113.759
18, Escuela El Salado, Medellin, NA, 169.630, 191.516, 112.902
60, Torre SIATA, Medellin, Estadio, 120.470, 135.128, 112.167
253, Parque 3 Aguas - Pluviometro, Caldas, NA, 216.030, 240.030, 111.110
289, Seminario Redemptoris - Pluviometro, Medellin, NA, 141.030, 154.686, 109.683
43, Escuela Rural Quebrada Larga, Medellin, NA, 177.170, 192.278, 108.527
248, Vivero EPM Piedras Blancas - Pluviometro, Guarne, NA, 140.460, 151.130, 107.596
353, Villa del Socorro - Pluviometro, Medellin, Villa del Socorro, 152.650, 159.258, 104.329
447, Deprimido San Juan Con Av Ferrocarril - Pluviometro, Medellin, Guayaquil, 165.520, 170.434, 102.969
437, Paradero Jalisco San Felix - Pluviometro, Bello, NA, 186.860, 191.262, 102.356
33, Santa Maria Goretti, Caldas, La Docena, 178.890, 181.356, 101.379
57, Escuela la Clara, Caldas, NA, 166.240, 165.862, 99.7726
352, Institucion Educativa La Candelaria - Pluviometro, Medellin, Santo Domingo Savio, 164.400, 160.782, 97.7993
429, Perfilador de Vientos - Pluviometro, Medellin, Belen Las Playas, 173.400, 164.084, 94.6275
