Fecha actualizacion: 2025/07/01 13:26
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
324, E.R Jamundi - Pluviometro, Girardota, NA, 175.900, 266.192, 151.331
227, Sonson - Pluviometro, Sonson, Centro, 213.510, 323.088, 151.322
61, Planta de Agua Bocatoma, La Estrella, NA, 194.930, 294.640, 151.152
393, Deprimido Terminal del Norte - Pluviometro, Medellin, Caribe, 178.820, 269.748, 150.849
62, Gimnasio Cantabria, La Estrella, NA, 198.060, 296.672, 149.789
242, IE Jesus Maria Valle, Medellin, Picacho, 153.050, 229.108, 149.695
29, Escuela Marina Orth, Medellin, NA, 152.150, 227.000, 149.195
253, Parque 3 Aguas - Pluviometro, Caldas, NA, 213.110, 313.182, 146.958
234, I.E Manuel Jose Caicedo - Pluviometro, Barbosa, Aguas Calientes, 232.820, 341.630, 146.736
352, Institucion Educativa La Candelaria - Pluviometro, Medellin, Santo Domingo Savio, 199.140, 290.830, 146.043
356, Villa Niza - Pluviometro, Medellin, Villa Niza, 195.330, 284.734, 145.771
328, Universidad EIA - Envigado - Pluviometro, Envigado, NA, 198.120, 282.194, 142.436
244, Bomberos Envigado - Pluviometro, Envigado, Las Vegas, 172.110, 243.586, 141.529
432, Andalucia Caldas - Pluviometro, Caldas, Andalucia, 250.530, 352.298, 140.621
53, Colegio Eduardo Santos, Medellin, Eduardo Santos, 153.720, 215.900, 140.450
57, Escuela la Clara, Caldas, NA, 165.340, 228.600, 138.261
184, Miraflores, Medellin, Cataluna, 163.700, 221.996, 135.611
266, Himalaya - Pluviometro, La Estrella, NA, 231.970, 313.690, 135.229
3, Escuela Rural Yarumalito, Medellin, NA, 170.670, 228.854, 134.092
23, Instituto Jorge Robledo, Medellin, Carlos E. Restrepo, 144.130, 192.492, 133.554
7, Escuela Republica de Cuba, Medellin, La Esperanza, 145.450, 193.802, 133.243
421, CC Viva Envigado - Pluviometro, Envigado, Las Vegas, 209.040, 271.272, 129.770
320, Palmitas Potrera - Pluviometro, Medellin, NA, 180.660, 230.886, 127.801
437, Paradero Jalisco San Felix - Pluviometro, Bello, NA, 228.090, 284.480, 124.723
420, Pueblo Viejo - Pluviometro, La Estrella, NULL, 220.390, 274.574, 124.586
339, Ecoparque El Salado - Pluviometro, Envigado, NA, 162.050, 201.676, 124.453
327, San Jose de Las Vegas - Pluviometro, Retiro, NA, 229.930, 282.194, 122.730
261, Deslizamiento La Raya - Pluviometro, La Estrella, NA, 227.460, 274.066, 120.490
17, Escuela El Corazon , Medellin, El Corazon, 156.720, 188.214, 120.096
323, Acueducto Hatillo - Pluviometro, Barbosa, NA, 274.190, 326.390, 119.038
171, Escombrera Mocatan - Pluviometro, Caldas, NA, 193.120, 229.616, 118.898
64, Ecoparque La Romera, Sabaneta, NA, 174.720, 203.962, 116.736
447, Deprimido San Juan Con Av Ferrocarril - Pluviometro, Medellin, Guayaquil, 212.940, 246.634, 115.823
395, La Harenala Santa Maria - Pluviometro, Itagui, Santa Maria No. 1, 252.220, 274.320, 108.762
433, Salada Parte Alta - Pluviometro, Caldas, NA, 260.100, 248.920, 95.7017
451, Heliodora - Pluviometro, Envigado, El Dorado, 275.210, 260.350, 94.6005
434, Museo de Antioquia - Pluviometro, Medellin, La Candelaria, 268.730, 252.984, 94.1406
383, Salinas Caldas - Pluviometro, Caldas, NA, 245.620, 228.200, 92.9077
168, Santa Rita Guatape - Pluviometro, Alejandria, NA, 425.200, 389.636, 91.6359
42, Escuela Rural Piedras Gordas, Medellin, NA, 137.490, 122.200, 88.8792
418, Montanita San Antonio - Pluviometro, Medellin, NA, 242.150, 199.898, 82.5513
288, Colegio Waldorf - Pluviometro, La Estrella, Bellavista, 181.200, 134.874, 74.4338
