Fecha actualizacion: 2025/10/01 00:01
Estacion,Nombre,Municipio,Barrio,Climatologia mes,Acumulado Mes (mm),Porcentaje Mes
60, Torre SIATA, Medellin, Estadio, 156.240, 86.3600, 55.2739
1, Casa de Gobierno Altavista, Medellin, NA, 189.650, 103.886, 54.7778
289, Seminario Redemptoris - Pluviometro, Medellin, NA, 211.960, 115.570, 54.5244
393, Deprimido Terminal del Norte - Pluviometro, Medellin, Caribe, 203.280, 109.982, 54.1037
211, La Ladera, Medellin, La Ladera, 175.120, 94.6000, 54.0201
3, Escuela Rural Yarumalito, Medellin, NA, 223.770, 120.396, 53.8035
129, Colegio Divino Salvador, Medellin, Miraflores, 161.580, 85.5980, 52.9756
29, Escuela Marina Orth, Medellin, NA, 198.090, 100.000, 50.4821
184, Miraflores, Medellin, Cataluna, 194.430, 97.7900, 50.2957
227, Sonson - Pluviometro, Sonson, Centro, 251.540, 119.634, 47.5606
171, Escombrera Mocatan - Pluviometro, Caldas, NA, 257.220, 121.666, 47.3004
241, Sede Social Picacho Las Vegas, Medellin, Picacho, 213.360, 100.838, 47.2619
288, Colegio Waldorf - Pluviometro, La Estrella, Bellavista, 245.920, 115.316, 46.8917
432, Andalucia Caldas - Pluviometro, Caldas, Andalucia, 247.310, 114.554, 46.3200
253, Parque 3 Aguas - Pluviometro, Caldas, NA, 225.550, 101.854, 45.1581
395, La Harenala Santa Maria - Pluviometro, Itagui, Santa Maria No. 1, 223.100, 99.8220, 44.7432
43, Escuela Rural Quebrada Larga, Medellin, NA, 254.790, 112.522, 44.1626
320, Palmitas Potrera - Pluviometro, Medellin, NA, 210.820, 92.7100, 43.9759
23, Instituto Jorge Robledo, Medellin, Carlos E. Restrepo, 183.480, 80.4000, 43.8195
230, Alcaldia La Estrella - Pluviometro, La Estrella, El Dorado, 289.980, 124.460, 42.9202
244, Bomberos Envigado - Pluviometro, Envigado, Las Vegas, 205.130, 87.6300, 42.7192
2, Escuela Rural La Verde, Medellin, NA, 197.420, 79.2000, 40.1175
418, Montanita San Antonio - Pluviometro, Medellin, NA, 251.540, 99.0600, 39.3814
14, Escuela El Triunfo , Medellin, El Triunfo, 173.120, 51.0540, 29.4905
33, Santa Maria Goretti, Caldas, La Docena, 213.750, 52.5780, 24.5979
189, Q. La Sanin - Pluviometro, Medellin, NA, 194.560, 45.9740, 23.6297
